개체1,액션1,감정1,URL
"개구리, 눈물, 웃음, 안습","울, 웃, 슬프",슬픔,https://jjalbang.today/files/jjalbox/2015/11/20151123_5652bac619af8.jpg
"유병재, 안습, 눈물",울,슬픔,https://jjalbang.today/files/jjalbox/2019/01/20190110_5c36f49b6ca19.jpg
"공효진, 전화, 눈물, 아픔, 안습, 여자, 고통",울,슬픔,https://jjalbang.today/files/jjalbox/2018/02/20180208_5a7c0328bddbd.jpg
"개구리, 눈물",울,슬픔,https://jjalbang.today/files/jjalbox/2015/11/20151123_5652ba70dffc3.png
"오징어, 징무룩",못생기,슬픔,https://jjalbang.today/files/jjalbox/2017/12/20171231_5a4882320119b.jpg
"유민상, 오열, 출소, 두부, 맛있는녀석들",,슬픔,https://jjalbang.today/files/jjalbox/2020/09/20200917_5f639a2ada3e7.gif
"전광렬, 우울","슬프, 힘들",슬픔,https://jjalbang.today/files/jjalbox/2020/09/20200911_5f5b4fdf1d7d9.jpg
"조인성, 발리에서 생긴일, 발리에서생긴일, 눈물, 이별, 전화",슬프,슬픔,https://jjalbang.today/files/jjalbox/2021/06/20210610_60c1b4da7971f.gif
"송강호, 눈물, 후회",,"슬픔, 분노",https://jjalbang.today/files/jjalbox/2021/06/20210604_60ba2cdeb3be9.gif
"에비츄, 서러움, 눈물","서글픈, 흑흑, 슬프",슬픔,https://jjalbang.today/files/jjalbox/2021/10/20211019_616ed2e7aaef5.gif
"김태리, 미스터선샤인, 미스터 선샤인, 입틀막, 눈물",울,슬픔,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2a1612bd3c.jpg
"개슬픔, 안습, 눈물, 한자",개슬프,슬픔,https://jjalbang.today/files/jjalbox/2021/06/20210609_60c062500accd.jpg
"박명수, 웃음, 무한도전",좋,행복,https://jjalbang.today/files/jjalbox/2018/09/20180927_5bac47a60364e.jpg
"북한, 김정은, 박수, 웃음, 축하",,행복,https://jjalbang.today/files/jjalbox/2018/01/20180108_5a523f2a16a84.jpg
"투자, 실패, 비트코인, 주식, 절망, 행복회로",터지,,https://jjalbang.today/files/jjalbox/2017/12/20171215_5a3357594c318.gif
"박명수, 웃음, 무도, 무한도전, 대박",좋,행복,https://jjalbang.today/files/jjalbox/2018/09/20180927_5bac47ea23928.jpg
"퇴사, 회사, 사직서, 사표, 굴레, 속박, 안녕, 이누야샤",,,https://jjalbang.today/files/jjalbox/2020/09/20200911_5f5b54114c9cf.gif
"송강호, 웃음, 배달","즐겁, 뛰",행복,https://jjalbang.today/files/jjalbox/2021/06/20210604_60ba31b70b750.jpg
"개, 강아지, 안습, 우울, 멘붕","개무룩, 시무룩",좌절,https://jjalbang.today/files/jjalbox/2015/04/20150401_551bae348164e.jpg
"주스, 쥬스",,놀람,https://jjalbang.today/files/jjalbox/2016/08/20160824_57bd11d6cba97.gif
"좌절, 포기",지,,https://jjalbang.today/files/jjalbox/2016/08/20160820_57b8206bc370c.png
"개고생, 거지, 안습, 거지꼴",,,https://jjalbang.today/files/jjalbox/2015/04/20150418_55322b711deb5.jpg
"길, 무한도전, 멘탈붕괴, 멘붕, 좌절","망하, 떡락",,https://jjalbang.today/files/jjalbox/2016/08/20160815_57b17d0592305.jpg
"사극, 멘붕, 좌절, 스트레스, 짜증, 두통",답답,중립,https://jjalbang.today/files/jjalbox/2015/03/92_55169b475d46c_2834.jpg
"김혜수, 멘붕, 멘탈붕괴",혼이 나가,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f0a6c924_1856.jpg
"박명수, 무도, 무한도전, 유체이탈, 멘붕, 충격",황당,,https://jjalbang.today/files/jjalbox/2016/09/20160906_57ce9dea2658f.gif
"유재석, 좌절",황당,슬픔,https://jjalbang.today/files/jjalbox/2016/08/20160819_57b6ca6da6448.jpg
"망연자실, 멘붕",황당,슬픔,https://jjalbang.today/files/jjalbox/2016/09/20160902_57c922920b689.jpg
"서장훈, 아는형님, 아는 형님","의미없, 필요없",중립,https://jjalbang.today/files/jjalbox/2017/01/20170111_5875607ad5057.jpg
"멘붕, 멍",,중립,https://jjalbang.today/files/jjalbox/2018/01/20180101_5a49b65ddd9f7.jpg
"피곤, 이불, 개피곤",쓰러지는,,https://jjalbang.today/files/jjalbox/2016/09/20160901_57c79d190e49d.gif
"조인성, 넋, 멘붕, 전화",,,https://jjalbang.today/files/jjalbox/2016/08/20160819_57b6ce6ff1b4f.jpg
"심슨, 아빠, 멘붕, 좌절",,분노,https://jjalbang.today/files/jjalbox/2015/03/92_55169f0535120_1865.jpg
어피치,"시무룩, 힘빠지, 힘 빠지, 슬프",슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_55169b1d66d08_2858.jpg
"짱구, 어이상실, 어이","어이없음, 황당",,https://jjalbang.today/files/jjalbox/2016/08/20160815_57b17d9348a29.jpg
미친년,미치,분노,https://jjalbang.today/files/jjalbox/2015/03/92_55169c127cb3e_2705.gif
"무한도전, 무도, 어록, 원수, 직장, 박명수",만나,,https://jjalbang.today/files/jjalbox/2016/08/20160822_57baa9157ad31.png
"장동건, 놀람, 멘붕","허, 놀라, 깜놀",놀람,https://jjalbang.today/files/jjalbox/2015/03/92_55169f1d4246b_1821.jpg
"사오리, 퇴사, 사표, 사직, 사직서",,,https://jjalbang.today/files/jjalbox/2017/08/20170823_599d1c7995e3d.jpg
"강아지, 개, 시무룩, 좌절",힘빠지,중립,https://jjalbang.today/files/jjalbox/2015/03/92_55169b1caad75_2859.jpg
"변우민, 고생, 거지, 거지꼴","집나가면 개고생, 집나가면개고생",,https://jjalbang.today/files/jjalbox/2015/04/20150418_55322b61acdd7.jpg
"좌절, 손, 얼굴",가리,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f03f2905_1868.jpg
"노답, 답","답답, 없",,https://jjalbang.today/files/jjalbox/2015/06/20150615_557da954ed941.png
"시무룩, 좌절, 미생",힘빠지,슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_55169b1550683_2865.jpg
"박명수, 지침, 한계점",지치,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f000fad7_1876.jpg
"거품, 정신줄, 멘탈","정신혼미, 정신 혼미",,https://jjalbang.today/files/jjalbox/2015/03/92_55169f1da5d3f_1822.jpg
"좌절, 소녀","시무룩, 힘빠지",슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_55169b1ad942f_2861.gif
"정신줄, 입, 침, 멘붕",,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f0221306_1871.jpg
"평온, 멘붕, 멘탈붕괴, 좌절, 개리",,,https://jjalbang.today/files/jjalbox/2015/03/92_55169be741071_2750.jpg
"항암제, 암, 무개념","황당, 미치",,https://jjalbang.today/files/jjalbox/2015/06/20150608_55756f4c26140.jpg
"고양이, 냥, 꼬리",모르,중립,https://jjalbang.today/files/jjalbox/2016/07/20160714_57876f84e4f83.gif
쪽,"뒹굴, 쪽팔리, 부끄럽",,https://jjalbang.today/files/jjalbox/2015/04/20150406_552266cf94981.gif
"팬더, 판다",쓸쓸,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f006d903_1875.jpg
"놀람, 선글라스, 안경","깜놀, 깜짝",놀람,https://jjalbang.today/files/jjalbox/2017/12/20171213_5a30ea98c1d8f.gif
"좌절, 남자",,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f12983ee_1844.jpg
"류현진, 좌절, 투수, 야구, 한화",어이없,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f0d33e26_1851.jpg
"칰칼코마니, 한화, 야구",어이없,,https://jjalbang.today/files/jjalbox/2016/09/20160918_57de126d2cab3.gif
"칭찬, 박수, 차두리, 축구",잘,,https://jjalbang.today/files/jjalbox/2015/03/101_5516a0272f1f9_2131.jpg
"엄지, 축구, 메시, 따봉",,중립,https://jjalbang.today/files/jjalbox/2016/06/20160606_575555ecbdd76.jpg
"엄지, 축구, 박주영, 따봉",,중립,https://jjalbang.today/files/jjalbox/2015/03/101_5516a01ed56d0_2535.jpg
"노잼, 지루, 축구","재미없, 지루, 의미없",,https://jjalbang.today/files/jjalbox/2015/11/20151122_5651be1ccbb2b.gif
"엑스, 끝, 축구","여기까지, 그만",,https://jjalbang.today/files/jjalbox/2015/03/85_55169cb29da6b_1056.jpg
"짜증, 감독, 축구, 화, 화난",,분노,https://jjalbang.today/files/jjalbox/2016/05/20160504_57294016b5bf4.gif
"코, 코딱지, 축구",,중립,https://jjalbang.today/files/jjalbox/2020/09/20200927_5f708aff4e2bf.gif
"김연아, 웃음","흐믓, 즐겁",행복,https://jjalbang.today/files/jjalbox/2015/09/20150916_55f94674648eb.gif
"전광렬, 회식","즐겁, 춤추",,https://jjalbang.today/files/jjalbox/2016/09/20160902_57c928e72bf3d.jpg
"포켓몬스터, 피카추, 꼬부기","춤추, 신나",행복,https://jjalbang.today/files/jjalbox/2017/12/20171231_5a4883dcd3be9.gif
"뻑큐, 박규, 욕, ㅗ",,,https://jjalbang.today/files/jjalbox/2016/07/20160727_5798816c3ffe8.gif
"유재석, 몰입, 저질춤",춤추,,https://jjalbang.today/files/jjalbox/2015/12/20151201_565cc251c7425.gif
"희롱, 엽기, 여자","춤추, 황당",,https://jjalbang.today/files/jjalbox/2018/01/20180118_5a600baeb78be.gif
